Name,Category,Calories,Fat (g),Protein (g),Carbs (g),Fiber (g),Sugar (g)
Apple,Fruit,52,0.2,0.3,14,2.4,10
Avocado,Fruit,160,15,2,8.5,6.7,0.7
Banana,Fruit,89,0.3,1.1,23,2.6,12
Blueberries,Fruit,57,0.3,0.7,14,2.4,10
Broccoli,Vegetable,34,0.4,2.8,7,2.6,1.7
Chicken Breast,Protein,165,3.6,31,0,0,0
Salmon,Protein,208,13,20,0,0,0
Eggs,Protein,155,11,13,1.1,0,1.1
Greek Yogurt (Plain),Dairy,59,0.4,10,3.6,0,3.6
Almonds,Nuts,579,50,21,22,12,4.4
Spinach,Vegetable,23,0.4,2.9,3.6,2.2,0.4
Sweet Potato,Vegetable,86,0.1,1.6,20,3,4.2
Quinoa,Grain,120,1.9,4.4,21,2.8,0.9
Brown Rice,Grain,111,0.9,2.6,23,1.8,0.4
Oats,Grain,389,6.9,16.9,66,10.6,0
Beef (Lean),Protein,250,15,26,0,0,0
Cheddar Cheese,Dairy,403,33,25,1.3,0,0.5
Chickpeas,Legume,164,2.6,8.9,27,7.6,4.8
Lentils,Legume,116,0.4,9,20,7.9,1.8
Peanut Butter,Nut Butter,588,50,25,20,6,9
Kale,Vegetable,49,0.9,4.3,9,3.6,2.3
Strawberries,Fruit,32,0.3,0.7,7.7,2,4.9
Walnuts,Nuts,654,65,15,14,6.7,2.6
Tofu (Firm),Protein,83,4.8,8,1.9,0.3,0
Turkey Breast,Protein,135,1,30,0,0,0
Black Beans,Legume,132,0.5,8.9,23,8.7,0.3
Cottage Cheese,Dairy,98,4.3,11,3.4,0,2.7
Whole Milk,Dairy,61,3.3,3.2,4.8,0,5.1
White Bread,Grain,265,3.2,9,49,2.7,5
Carrot,Vegetable,41,0.2,0.9,10,2.8,4.7
Cucumber,Vegetable,15,0.1,0.7,3.6,0.5,1.7
Garlic,Vegetable,149,0.5,6.4,33,2.1,1
Honey,Sweetener,304,0,0.3,82,0.2,82
Olive Oil,Oil,884,100,0,0,0,0
Pork Chop,Protein,242,14,27,0,0,0
Potato (White),Vegetable,77,0.1,2,17,2.2,0.8
Pumpkin Seeds,Seeds,559,49,30,11,6,1
Shrimp,Protein,99,0.3,24,0.2,0,0
Soy Milk,Dairy Alt,54,1.8,3.3,6,0.6,4
Tomato,Vegetable,18,0.2,0.9,3.9,1.2,2.6
Tuna (Canned),Protein,116,0.8,26,0,0,0
Watermelon,Fruit,30,0.2,0.6,7.6,0.4,6
Chia Seeds,Seeds,486,31,17,42,34,0
Dark Chocolate,Treat,546,31,4.9,61,7,48
Asparagus,Vegetable,20,0.1,2.2,3.9,2.1,1.9
Bell Pepper,Vegetable,31,0.3,1,6,2.1,4.2
Cashews,Nuts,553,44,18,30,3.3,5.9
Hummus,Dip,166,9.6,7.9,14,6,0.3
Mushrooms,Vegetable,22,0.3,3.1,3.3,1,2
